mois_mutation;code_departement;nom_commune;valeur_fonciere;croissance
01/01/2017;75;75Paris 10e Arrondissement;46754976.5;0
01/01/2017;75;75Paris 11e Arrondissement;89279787;0
01/01/2017;75;75Paris 12e Arrondissement;51349036.93;0
01/01/2017;75;75Paris 13e Arrondissement;51404043;0
01/01/2017;75;75Paris 14e Arrondissement;57766068;0
01/01/2017;75;75Paris 15e Arrondissement;168892774;0
01/01/2017;75;75Paris 16e Arrondissement;99141239.66;0
01/01/2017;75;75Paris 17e Arrondissement;82142517;0
01/01/2017;75;75Paris 18e Arrondissement;121036351;0
01/01/2017;75;75Paris 19e Arrondissement;45763546;0
01/01/2017;75;75Paris 1er Arrondissement;8992588;0
01/01/2017;75;75Paris 20e Arrondissement;64343305;0
01/01/2017;75;75Paris 2e Arrondissement;14876424.34;0
01/01/2017;75;75Paris 3e Arrondissement;24673860;0
01/01/2017;75;75Paris 4e Arrondissement;17650150;0
01/01/2017;75;75Paris 5e Arrondissement;28890472;0
01/01/2017;75;75Paris 6e Arrondissement;31720495;0
01/01/2017;75;75Paris 7e Arrondissement;36446541.15;0
01/01/2017;75;75Paris 8e Arrondissement;18446094;0
01/01/2017;75;75Paris 9e Arrondissement;36052973;0
01/01/2017;77;77AchÃ¨res-la-ForÃªt;380000;0
01/01/2017;77;77Amillis;684000;0
01/01/2017;77;77Annet-sur-Marne;1210600;0
01/01/2017;77;77Arbonne-la-ForÃªt;845000;0
01/01/2017;77;77ArgentiÃ¨res;208000;0
01/01/2017;77;77Aubepierre-Ozouer-le-Repos;330000;0
01/01/2017;77;77Aufferville;134000;0
01/01/2017;77;77Augers-en-Brie;118000;0
01/01/2017;77;77Avon;4419088;0
01/01/2017;77;77Bagneaux-sur-Loing;736000;0
01/01/2017;77;77Bailly-Romainvilliers;6040725;0
01/01/2017;77;77Balloy;470000;0
01/01/2017;77;77Barcy;164000;0
01/01/2017;77;77Bassevelle;85000;0
01/01/2017;77;77Beauchery-Saint-Martin;130000;0
01/01/2017;77;77Beautheil-Saints;400000;0
01/01/2017;77;77Bellot;750000;0
01/01/2017;77;77Beton-Bazoches;800000;0
01/01/2017;77;77Blennes;90000;0
01/01/2017;77;77Bois-le-Roi;4242020;0
01/01/2017;77;77Boissise-la-Bertrand;672500;0
01/01/2017;77;77Boissise-le-Roi;1287550;0
01/01/2017;77;77Boissy-le-ChÃ¢tel;220000;0
01/01/2017;77;77Bombon;145000;0
01/01/2017;77;77Bourron-Marlotte;605000;0
01/01/2017;77;77Boutigny;990000;0
01/01/2017;77;77Bray-sur-Seine;145000;0
01/01/2017;77;77Brie-Comte-Robert;4344500;0
01/01/2017;77;77Brou-sur-Chantereine;813730;0
01/01/2017;77;77BrÃ©au;1534040.46;0
01/01/2017;77;77BussiÃ¨res;357500;0
01/01/2017;77;77Bussy-Saint-Georges;8877000;0
01/01/2017;77;77Cannes-Ã‰cluse;51000;0
01/01/2017;77;77Cesson;2785100;0
01/01/2017;77;77Chailly-en-BiÃ¨re;1152000;0
01/01/2017;77;77Chailly-en-Brie;415000;0
01/01/2017;77;77Chalifert;1088260;0
01/01/2017;77;77Chamigny;1245000;0
01/01/2017;77;77Champagne-sur-Seine;836000;0
01/01/2017;77;77Champdeuil;150000;0
01/01/2017;77;77Champs-sur-Marne;6797201.59;0
01/01/2017;77;77Changis-sur-Marne;549000;0
01/01/2017;77;77Chanteloup-en-Brie;1914740;0
01/01/2017;77;77Charmentray;136000;0
01/01/2017;77;77Charny;177000;0
01/01/2017;77;77Chartronges;404000;0
01/01/2017;77;77Chauconin-Neufmontiers;251000;0
01/01/2017;77;77Chaumes-en-Brie;2029000;0
01/01/2017;77;77Chelles;15404350;0
01/01/2017;77;77Chenoise-Cucharmoy;807500;0
01/01/2017;77;77Chenou;120500;0
01/01/2017;77;77Chessy;1797200;0
01/01/2017;77;77Chevru;260000;0
01/01/2017;77;77Chevry-Cossigny;1264300;0
01/01/2017;77;77ChÃ¢teau-Landon;551000;0
01/01/2017;77;77ChÃ¢tenay-sur-Seine;139000;0
01/01/2017;77;77ChÃ¢tenoy;280000;0
01/01/2017;77;77ChÃ¢tres;220000;0
01/01/2017;77;77Citry;125000;0
01/01/2017;77;77Claye-Souilly;3671500;0
01/01/2017;77;77CollÃ©gien;936090;0
01/01/2017;77;77Combs-la-Ville;5318300;0
01/01/2017;77;77Conches-sur-Gondoire;1445500;0
01/01/2017;77;77CondÃ©-Sainte-Libiaire;340000;0
01/01/2017;77;77Congis-sur-ThÃ©rouanne;156000;0
01/01/2017;77;77Couilly-Pont-aux-Dames;3301600;0
01/01/2017;77;77Coulombs-en-Valois;101750;0
01/01/2017;77;77Coulommiers;1218010;0
01/01/2017;77;77Coupvray;1670500;0
01/01/2017;77;77Courpalay;462000;0
01/01/2017;77;77Courtry;907000;0
01/01/2017;77;77Coutevroult;880500;0
01/01/2017;77;77Croissy-Beaubourg;340000;0
01/01/2017;77;77CrÃ¨vecÅ“ur-en-Brie;224000;0
01/01/2017;77;77CrÃ©cy-la-Chapelle;1406000;0
01/01/2017;77;77CrÃ©gy-lÃ¨s-Meaux;391100;0
01/01/2017;77;77Cuisy;350500;0
01/01/2017;77;77CÃ©ly;392000;0
01/01/2017;77;77Dammarie-les-Lys;2389300;0
01/01/2017;77;77Dammartin-en-GoÃ«le;1141250;0
01/01/2017;77;77Dammartin-sur-Tigeaux;966700;0
01/01/2017;77;77Dampmart;1462340;0
01/01/2017;77;77Darvault;103000;0
01/01/2017;77;77Donnemarie-Dontilly;805000;0
