,type_vente,code_departement,code_commune,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
163,1,95,95428,689000,7,5,152,403,4533,-1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
164,0,95,95058,225000,3,2,56,0,4018,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
165,0,75,75056,430000,3,2,44,0,9773,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
166,0,94,94068,439000,3,2,66,0,6652,1206,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
167,0,75,75056,488000,4,3,77,0,0,951,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
168,0,75,75056,298000,0,0,34,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
169,0,92,92075,235000,2,1,32,0,7344,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
170,1,94,94028,365000,3,2,64,168,5703,-1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
171,0,94,94002,235000,2,1,40,0,0,-1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
172,0,75,75056,299000,2,1,28,0,10679,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
173,0,75,75056,850000,3,2,69,0,12319,870,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
174,0,77,77276,220000,4,3,84,0,2619,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
175,0,94,94041,449000,3,2,69,0,6507,-1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
176,0,92,92062,325000,2,1,42,0,7738,-1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
177,0,75,75056,749000,3,2,65,0,11523,-1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0
178,1,95,95176,850000,6,5,152,462,5592,-1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
179,0,95,95154,265000,5,3,95,0,2789,-1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
180,1,95,95134,418000,5,4,153,337,2732,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
181,0,75,75056,1250000,6,4,108,0,11574,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
182,0,77,77038,149000,4,3,86,0,0,-1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
183,0,93,93072,277000,5,4,100,0,2770,-1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1
184,0,78,78502,265000,2,1,45,0,5889,-1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
185,0,75,75056,500000,4,3,82,0,6098,1012,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
186,0,78,78646,540000,4,3,94,0,5745,-1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
187,1,78,78146,960000,6,4,132,450,7273,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
188,0,75,75056,380000,2,1,34,0,11176,328,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
189,1,78,78087,640000,6,4,180,3,3556,1400,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
190,0,78,78490,225000,2,1,54,0,4167,-1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
191,0,92,92022,340000,4,3,63,0,5397,-1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
192,0,91,91570,174000,3,2,67,0,2597,-1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
193,0,92,92063,670000,4,3,97,0,6907,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
194,0,92,92004,498000,3,2,64,0,0,1000,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
195,1,93,93048,600000,4,2,79,0,7595,1431,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
