,type_vente,nom_commune,code_departement,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
115,Maison,Clichy-sous-Bois,93,485000,6,5,229,389,2118,1867,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,True
116,Appartement,Chaville,92,340000,4,3,63,0,5397,-1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
117,Appartement,Paris 20e Arrondissement,75,360000,0,0,35,0,0,-1,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
118,Appartement,Bobigny,93,150000,0,0,35,0,4286,650,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
119,Maison,Andilly,95,550000,7,5,162,1,3395,1184,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True
120,Maison,Le Vésinet,78,670000,4,3,75,99,0,-1,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False
121,Appartement,Champigny-sur-Marne,94,395000,4,2,75,0,0,-1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
122,Appartement,Paris 9e Arrondissement,75,425000,2,1,33,0,12879,-1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
123,Maison,Morsang-sur-Seine,91,374000,5,3,100,136,3740,-1,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
124,Appartement,Massy,91,390000,4,3,90,0,4333,-1,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False
125,Maison,Rueil-Malmaison,92,1345000,8,5,182,536,7390,-1,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False
126,Appartement,Boisemont,95,216000,3,0,60,0,0,1278,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False
127,Maison,Bièvres,91,660000,6,5,117,296,0,-1,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True
128,Appartement,Stains,93,255000,4,3,78,0,0,-1,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False
129,Appartement,Vincennes,94,355000,2,1,44,0,8068,800,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
130,Appartement,Paris 11e Arrondissement,75,560000,2,1,40,0,14000,-1,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False
131,Appartement,Poissy,78,410000,6,4,105,0,3905,1761,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
132,Appartement,Châtenay-Malabry,92,1380000,7,5,191,0,7225,-1,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True
133,Appartement,Le Raincy,93,256000,3,2,52,0,0,-1,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
134,Appartement,Le Perreux-sur-Marne,94,490000,3,2,70,0,7000,-1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
135,Maison,Enghien-les-Bains,95,1820000,11,7,315,637,5778,-1,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True
136,Appartement,Paris 16e Arrondissement,75,500000,0,0,33,0,15152,-1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
137,Appartement,Clairefontaine-en-Yvelines,78,259750,3,2,71,0,3658,-1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
138,Appartement,Vanves,92,499000,4,2,70,0,7129,-1,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False
139,Maison,Paris 20e Arrondissement,75,820000,4,3,96,0,8542,-1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
140,Appartement,Paris 14e Arrondissement,75,750000,3,2,65,0,11538,-1,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False
141,Appartement,Montrouge,92,338000,2,1,42,0,8048,430,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False
142,Appartement,Paris 5e Arrondissement,75,454000,2,1,35,0,12971,-1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
143,Appartement,Paris 13e Arrondissement,75,619000,3,2,62,0,0,-1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
144,Appartement,Paris 14e Arrondissement,75,835000,4,3,82,0,10183,-1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False
145,Appartement,Paris 16e Arrondissement,75,200000,0,0,17,0,0,-1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
146,Appartement,Paris 18e Arrondissement,75,385000,2,1,38,0,10132,381,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False
147,Appartement,Colombes,92,430000,4,3,89,0,4831,-1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
148,Maison,Argenteuil,95,550000,8,6,135,725,0,-1,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,True
149,Appartement,Paris 14e Arrondissement,75,548500,2,1,50,0,10970,-1,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False
150,Appartement,Paris 15e Arrondissement,75,820000,3,2,68,0,12059,-1,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True
151,Maison,Draveil,91,335000,4,3,107,125,3131,-1,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False
152,Appartement,Saint-Maur-des-Fossés,94,340000,3,2,58,0,5862,-1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
153,Appartement,Paris 18e Arrondissement,75,1185000,4,2,95,0,0,-1,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True
154,Appartement,Paris 18e Arrondissement,75,430000,2,1,40,0,10750,-1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
155,Appartement,Crespières,78,238000,3,2,65,0,3662,-1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
156,Maison,Méry-sur-Oise,95,390000,5,3,104,593,3750,1900,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True
157,Appartement,Paris 15e Arrondissement,75,399000,2,1,38,0,10500,-1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
158,Appartement,Paris 17e Arrondissement,75,510000,3,2,45,0,11333,-1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
159,Maison,Courtry,77,540000,7,4,130,641,4154,-1,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True
160,Appartement,Gometz-le-Châtel,91,172000,4,3,77,0,2234,1167,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False
161,Appartement,Montrouge,92,275000,0,0,31,0,8871,-1,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False
162,Appartement,Alfortville,94,468000,3,2,90,0,5200,20212018,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True
163,Maison,Montmorency,95,689000,7,5,152,403,4533,-1,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,True
164,Appartement,Bernes-sur-Oise,95,225000,3,2,56,0,4018,-1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
165,Appartement,Paris 18e Arrondissement,75,430000,3,2,44,0,9773,-1,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
166,Appartement,Saint-Maur-des-Fossés,94,439000,3,2,66,0,6652,1206,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False
167,Appartement,Paris 13e Arrondissement,75,488000,4,3,77,0,0,951,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
168,Appartement,Paris 13e Arrondissement,75,298000,0,0,34,0,0,-1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
