,type,nom_commune,code_departement,prix,numberOfGuests,rating
503,Room,Paris 17e Arrondissement,75,185,2,4.5
504,Room,Paris 17e Arrondissement,75,223,2,4.5
505,Room,Paris 18e Arrondissement,75,157,1,4.0
506,Room,Paris 12e Arrondissement,75,223,2,4.5
507,Room,Paris 18e Arrondissement,75,223,1,4.5
508,Room,Paris 14e Arrondissement,75,209,2,4.5
509,Room,Paris 14e Arrondissement,75,140,1,4.5
510,Entire Home,Paris 3e Arrondissement,75,218,3,3.5
511,Room,Paris 13e Arrondissement,75,154,2,4.5
512,Room,Paris 9e Arrondissement,75,188,2,5.0
513,Room,Paris 13e Arrondissement,75,218,1,4.5
514,Room,Issy-les-Moulineaux,92,155,1,5.0
515,Room,Paris 9e Arrondissement,75,196,2,4.5
516,Room,Paris 10e Arrondissement,75,205,2,4.5
517,Room,Paris 9e Arrondissement,75,233,2,4.5
518,Room,Puteaux,92,160,2,4.5
519,Room,Paris 10e Arrondissement,75,168,3,4.0
520,Room,Paris 19e Arrondissement,75,181,1,4.5
521,Room,Paris 11e Arrondissement,75,227,2,4.5
522,Room,Paris 11e Arrondissement,75,256,2,4.5
523,Room,Paris 15e Arrondissement,75,197,2,4.5
524,Room,Paris 8e Arrondissement,75,169,1,4.5
525,Room,Paris 15e Arrondissement,75,171,2,4.5
526,Room,Neuilly-sur-Seine,92,178,2,4.5
527,Room,Paris 18e Arrondissement,75,192,2,4.5
528,Room,Paris 12e Arrondissement,75,257,2,5.0
529,Room,Paris 14e Arrondissement,75,185,2,5.0
530,Room,Ivry-sur-Seine,94,218,2,5.0
531,Room,Paris 18e Arrondissement,75,232,4,4.0
532,Room,Paris 17e Arrondissement,75,204,2,4.5
533,Room,Paris 16e Arrondissement,75,156,1,4.5
534,Room,Paris 11e Arrondissement,75,226,2,4.5
535,Room,Paris 20e Arrondissement,75,223,3,4.5
536,Room,Paris 20e Arrondissement,75,202,2,4.5
537,Room,Paris 9e Arrondissement,75,196,2,4.5
538,Room,Paris 14e Arrondissement,75,211,2,4.5
539,Room,Paris 17e Arrondissement,75,148,2,4.5
540,Entire Home,Paris 8e Arrondissement,75,217,2,3.5
541,Room,Paris 15e Arrondissement,75,190,2,3.5
542,Room,Paris 14e Arrondissement,75,233,2,4.5
543,Room,Puteaux,92,195,2,4.5
544,Room,Paris 15e Arrondissement,75,197,2,4.5
545,Room,Gentilly,94,146,2,4.5
546,Entire Home,Saint-Ouen-sur-Seine,93,341,4,5.0
547,Room,Paris 9e Arrondissement,75,228,2,4.5
548,Room,Paris 18e Arrondissement,75,178,2,4.0
549,Room,Paris 14e Arrondissement,75,190,2,4.5
550,Room,Saint-Ouen-sur-Seine,93,140,2,4.5
551,Room,Paris 20e Arrondissement,75,249,4,4.5
552,Room,Paris 18e Arrondissement,75,197,2,4.0
553,Room,Paris 16e Arrondissement,75,247,1,4.5
554,Room,Paris 4e Arrondissement,75,238,2,2.5
555,Room,Paris 17e Arrondissement,75,251,2,4.5
556,Room,Paris 13e Arrondissement,75,231,3,4.5
557,Room,Issy-les-Moulineaux,92,158,2,4.5
558,Room,Paris 16e Arrondissement,75,247,2,4.0
559,Room,Paris 17e Arrondissement,75,224,2,4.5
560,Entire Home,Paris 18e Arrondissement,75,249,4,4.5
561,Room,Paris 13e Arrondissement,75,154,1,4.5
562,Room,Paris 10e Arrondissement,75,258,2,4.0
563,Room,Paris 9e Arrondissement,75,216,2,4.5
564,Room,Paris 14e Arrondissement,75,158,2,4.5
565,Room,Paris 12e Arrondissement,75,205,2,4.5
566,Room,Paris 13e Arrondissement,75,173,2,4.0
567,Room,Paris 9e Arrondissement,75,188,1,4.0
568,Room,Paris 17e Arrondissement,75,229,2,5.0
569,Entire Home,Paris 17e Arrondissement,75,244,4,5.0
570,Room,Paris 9e Arrondissement,75,164,1,4.5
571,Room,Paris 9e Arrondissement,75,177,3,4.5
572,Room,Clichy,92,179,2,4.5
573,Entire Home,Paris 14e Arrondissement,75,249,5,4.5
574,Room,Paris 9e Arrondissement,75,218,2,4.5
575,Room,Paris 14e Arrondissement,75,222,2,4.5
576,Room,Paris 14e Arrondissement,75,157,2,4.5
577,Room,Paris 15e Arrondissement,75,205,2,4.0
578,Room,Paris 17e Arrondissement,75,240,2,4.5
579,Room,Paris 12e Arrondissement,75,156,2,4.0
580,Room,Saint-Cloud,92,209,2,4.5
581,Entire Home,Paris 3e Arrondissement,75,218,2,4.0
582,Room,Puteaux,92,151,1,4.5
583,Entire Home,Paris 1er Arrondissement,75,283,2,5.0
584,Room,Paris 14e Arrondissement,75,175,2,4.5
585,Room,Paris 17e Arrondissement,75,153,2,4.5
586,Room,Paris 11e Arrondissement,75,197,2,4.5
587,Room,Paris 8e Arrondissement,75,147,2,4.5
588,Room,Paris 9e Arrondissement,75,259,2,4.5
589,Room,Paris 9e Arrondissement,75,220,2,5.0
590,Room,Saint-Cloud,92,189,2,5.0
591,Entire Home,Maisons-Alfort,94,253,2,5.0
592,Room,Paris 15e Arrondissement,75,232,2,4.5
593,Room,Paris 9e Arrondissement,75,137,2,4.0
594,Room,Paris 18e Arrondissement,75,197,2,5.0
595,Room,Paris 15e Arrondissement,75,197,2,5.0
596,Room,Paris 8e Arrondissement,75,240,2,5.0
597,Room,Paris 14e Arrondissement,75,172,2,4.5
598,Room,Paris 20e Arrondissement,75,186,2,4.5
599,Room,Clichy,92,139,2,4.5
600,Room,Paris 17e Arrondissement,75,205,2,4.5
601,Room,Paris 9e Arrondissement,75,205,1,4.5
602,Room,Paris 20e Arrondissement,75,196,2,4.5
603,Room,Paris 10e Arrondissement,75,227,2,4.0
604,Room,Paris 11e Arrondissement,75,211,2,4.0
605,Entire Home,Malakoff,92,142,2,4.5
606,Room,Paris 11e Arrondissement,75,247,2,4.5
607,Room,Paris 15e Arrondissement,75,201,3,4.5
608,Room,Paris 14e Arrondissement,75,223,2,4.0
609,Room,Paris 6e Arrondissement,75,202,2,4.5
610,Room,Paris 15e Arrondissement,75,216,2,4.5
611,Room,Paris 17e Arrondissement,75,243,2,4.5
612,Room,Paris 17e Arrondissement,75,184,2,4.5
613,Room,Paris 9e Arrondissement,75,169,2,5.0
614,Room,Paris 9e Arrondissement,75,163,2,4.5
615,Room,Paris 9e Arrondissement,75,234,2,4.5
616,Room,Paris 6e Arrondissement,75,205,2,4.0
617,Room,Paris 15e Arrondissement,75,190,2,4.5
618,Room,Paris 9e Arrondissement,75,174,1,4.0
619,Room,Paris 8e Arrondissement,75,217,2,4.5
620,Room,Paris 17e Arrondissement,75,218,2,4.5
621,Entire Home,Boulogne-Billancourt,92,177,2,4.5
622,Room,Paris 8e Arrondissement,75,247,2,4.5
623,Room,Paris 17e Arrondissement,75,233,2,4.5
624,Room,Paris 2e Arrondissement,75,228,2,4.5
625,Room,Paris 9e Arrondissement,75,204,2,5.0
626,Room,Paris 20e Arrondissement,75,212,2,4.5
627,Room,Paris 16e Arrondissement,75,252,2,5.0
628,Entire Home,Paris 15e Arrondissement,75,249,1,5.0
629,Room,Paris 12e Arrondissement,75,184,2,4.5
630,Room,Paris 8e Arrondissement,75,149,2,4.5
631,Room,Paris 9e Arrondissement,75,137,2,5.0
632,Room,Paris 18e Arrondissement,75,207,2,4.0
633,Room,Paris 14e Arrondissement,75,151,2,4.5
634,Room,Paris 9e Arrondissement,75,237,2,4.5
635,Room,Paris 18e Arrondissement,75,192,2,4.5
636,Room,Paris 10e Arrondissement,75,202,2,4.5
637,Entire Home,Paris 10e Arrondissement,75,248,3,4.5
638,Room,Paris 15e Arrondissement,75,176,2,4.5
639,Entire Home,Paris 13e Arrondissement,75,143,1,4.5
640,Room,Paris 10e Arrondissement,75,238,1,4.5
641,Room,Paris 9e Arrondissement,75,253,2,4.5
642,Room,Paris 9e Arrondissement,75,164,1,4.5
643,Room,Paris 15e Arrondissement,75,228,2,5.0
644,Entire Home,Paris 9e Arrondissement,75,267,2,4.5
645,Room,Paris 9e Arrondissement,75,204,1,4.5
646,Room,Paris 6e Arrondissement,75,179,1,4.5
647,Room,Paris 12e Arrondissement,75,341,2,4.5
648,Room,Paris 10e Arrondissement,75,231,1,4.5
649,Room,Paris 2e Arrondissement,75,209,2,4.5
650,Room,Paris 5e Arrondissement,75,172,1,4.5
651,Room,Paris 9e Arrondissement,75,178,2,5.0
652,Room,Paris 6e Arrondissement,75,179,1,4.5
653,Room,Paris 3e Arrondissement,75,256,2,4.5
654,Room,Paris 9e Arrondissement,75,223,2,4.5
655,Room,Paris 9e Arrondissement,75,205,3,5.0
656,Room,Paris 9e Arrondissement,75,191,2,5.0
657,Room,Paris 9e Arrondissement,75,204,2,4.5
658,Room,Paris 15e Arrondissement,75,151,2,4.5
659,Room,Paris 15e Arrondissement,75,165,2,4.5
660,Room,Paris 8e Arrondissement,75,194,3,5.0
661,Room,Paris 2e Arrondissement,75,209,2,5.0
662,Room,Paris 2e Arrondissement,75,149,2,5.0
663,Room,Paris 17e Arrondissement,75,196,2,4.5
664,Room,Paris 9e Arrondissement,75,145,2,5.0
665,Room,Paris 5e Arrondissement,75,229,2,4.5
666,Room,Paris 15e Arrondissement,75,194,2,4.5
667,Room,Paris 9e Arrondissement,75,188,3,5.0
668,Room,Paris 9e Arrondissement,75,158,2,4.5
669,Room,Paris 15e Arrondissement,75,202,1,5.0
670,Room,Paris 8e Arrondissement,75,195,1,5.0
671,Room,Paris 8e Arrondissement,75,217,2,5.0
672,Room,Paris 9e Arrondissement,75,198,2,4.5
673,Room,Paris 8e Arrondissement,75,151,2,5.0
674,Room,Paris 9e Arrondissement,75,522,4,5.0
675,Room,Paris 8e Arrondissement,75,194,2,5.0
676,Room,Paris 9e Arrondissement,75,149,2,5.0
677,Room,Paris 3e Arrondissement,75,387,2,4.5
678,Room,Paris 17e Arrondissement,75,461,2,4.5
679,Room,Paris 12e Arrondissement,75,430,2,4.5
680,Room,Paris 7e Arrondissement,75,356,2,4.5
681,Room,Paris 16e Arrondissement,75,364,2,4.5
682,Room,Paris 9e Arrondissement,75,465,4,3.5
683,Room,Paris 6e Arrondissement,75,393,2,4.5
684,Room,Paris 1er Arrondissement,75,402,2,4.5
685,Room,Paris 7e Arrondissement,75,405,2,5.0
686,Room,Paris 9e Arrondissement,75,341,2,5.0
687,Room,Paris 8e Arrondissement,75,135,1,5.0
688,Room,Nanterre,92,70,1,5.0
689,Room,Villejuif,94,42,1,4.5
690,Entire Home,Les Lilas,93,204,3,4.5
691,Room,Bonneuil-sur-Marne,94,40,2,4.5
692,Room,Bures-sur-Yvette,91,84,2,4.5
693,Entire Home,Longjumeau,91,102,2,4.5
694,Entire Home,Alfortville,94,94,2,5.0
695,Room,Paris 8e Arrondissement,75,126,1,4.5
696,Room,Paris 5e Arrondissement,75,89,1,4.5
697,Room,Paris 8e Arrondissement,75,118,1,5.0
698,Room,Paris 9e Arrondissement,75,213,1,4.5
699,Room,Paris 15e Arrondissement,75,198,2,5.0
700,Room,Paris 10e Arrondissement,75,258,3,4.5
701,Room,Paris 9e Arrondissement,75,188,2,4.5
702,Room,Boulogne-Billancourt,92,149,2,4.5
703,Room,Paris 9e Arrondissement,75,233,2,5.0
704,Room,Paris 9e Arrondissement,75,184,1,5.0
705,Entire Home,Montmorency,95,89,2,4.5
706,Room,Montreuil,93,90,2,4.5
707,Entire Home,Paris 2e Arrondissement,75,123,2,4.5
