,type,nom_commune,code_departement,prix,numberOfGuests,rating
111,Room,Paris 9e Arrondissement,75,383,3,5.0
112,Entire Home,Paris 4e Arrondissement,75,362,4,1.5
113,Room,Paris 9e Arrondissement,75,342,2,4.0
114,Room,Paris 15e Arrondissement,75,323,2,4.5
115,Room,Paris 2e Arrondissement,75,269,2,4.0
116,Room,Paris 14e Arrondissement,75,322,2,4.5
117,Room,Paris 1er Arrondissement,75,349,2,4.5
118,Room,Paris 15e Arrondissement,75,327,2,4.5
119,Room,Paris 15e Arrondissement,75,428,6,4.5
120,Room,Paris 8e Arrondissement,75,397,1,4.5
121,Room,Paris 6e Arrondissement,75,287,2,4.5
122,Room,Paris 2e Arrondissement,75,336,2,4.5
123,Room,Paris 10e Arrondissement,75,386,1,4.5
124,Room,Paris 1er Arrondissement,75,419,2,5.0
125,Room,Paris 4e Arrondissement,75,262,2,4.0
126,Room,Paris 6e Arrondissement,75,353,2,4.5
127,Room,Paris 15e Arrondissement,75,273,2,4.5
128,Room,Paris 8e Arrondissement,75,393,2,4.5
129,Room,Paris 5e Arrondissement,75,466,4,4.5
130,Room,Paris 8e Arrondissement,75,316,2,4.5
131,Room,Paris 10e Arrondissement,75,271,2,4.5
132,Room,Paris 18e Arrondissement,75,374,2,4.5
133,Room,Paris 8e Arrondissement,75,452,2,4.5
134,Room,Paris 8e Arrondissement,75,398,2,4.5
135,Room,Paris 3e Arrondissement,75,266,2,4.5
136,Room,Paris 17e Arrondissement,75,268,2,4.5
137,Room,Paris 16e Arrondissement,75,416,4,4.5
138,Room,Paris 17e Arrondissement,75,268,2,4.5
139,Room,Paris 10e Arrondissement,75,317,3,4.5
140,Room,Paris 6e Arrondissement,75,336,2,4.5
141,Room,Paris 17e Arrondissement,75,396,2,4.5
142,Room,Paris 15e Arrondissement,75,338,2,4.5
143,Room,Paris 8e Arrondissement,75,406,2,4.5
144,Room,Paris 1er Arrondissement,75,338,2,4.0
