,type_location,code_departement,code_commune,prix_location,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,taxe_loyer,cuisine_equipee,machine_laver,m_lave_vaisselle,bien_neuf,place_parking,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,meublé,colocation,approximite_metro,terrasse
167,0,78,78050,590,1,0,18,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,0,77,77023,520,1,0,25,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,77,77156,730,3,2,75,0,490,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
170,0,94,94052,795,1,0,24,0,590,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
171,0,91,91477,1795,5,3,100,0,1150,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
172,0,92,92025,880,1,0,20,0,2450,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,0,92,92044,1300,2,1,33,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,94,94002,880,1,0,36,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
175,0,92,92012,1775,3,2,67,0,-1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
176,0,92,92014,1750,3,2,74,0,-1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
177,0,95,95074,1300,3,2,65,0,520,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0
178,0,92,92007,1380,3,2,56,0,-1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0
179,0,75,75056,990,1,0,29,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
180,0,95,95428,565,1,0,15,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
181,0,91,91021,650,2,1,36,0,-1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
182,0,92,92036,660,2,1,23,0,1200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
183,0,75,75056,670,1,1,21,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
184,0,75,75056,3300,4,2,100,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,78,78311,1050,2,1,50,0,-1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
186,0,78,78358,770,1,0,33,0,1300,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
187,0,75,75056,3200,5,3,94,0,1380,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
188,0,75,75056,1400,2,1,44,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,0,95,95197,960,2,1,48,0,-1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
190,0,92,92064,1800,3,2,71,0,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
191,0,77,77255,1105,3,2,70,0,620,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
192,0,93,93006,730,1,0,25,0,670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,93,93051,1064,2,1,64,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
194,0,75,75056,710,1,0,18,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
195,0,91,91326,977,3,2,54,0,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
196,1,92,92019,2000,6,4,135,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,0,94,94081,1697,3,2,67,0,-1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0
198,0,94,94058,2395,4,3,95,0,890,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
199,0,92,92026,2500,3,2,89,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,0,75,75056,600,1,1,10,0,1105,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
201,0,92,92022,2700,5,2,101,0,690,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
202,0,78,78498,880,2,1,25,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,0,93,93029,560,1,0,21,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,0,93,93077,830,2,1,36,0,807,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
205,0,92,92063,1800,3,2,78,0,2000,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
206,0,75,75056,1340,2,1,25,0,1697,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
207,0,92,92012,1850,3,1,52,0,2395,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
208,0,92,92044,1300,2,1,33,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,92,92012,950,1,0,35,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
210,0,93,93050,980,2,1,42,0,-1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
211,0,78,78406,920,2,1,75,0,790,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
212,1,95,95074,590,9,1,15,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
213,0,93,93055,910,2,1,40,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,0,91,91274,970,2,1,43,0,1650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,77,77514,550,5,4,102,0,-1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
216,0,92,92076,1250,2,1,49,0,-1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
217,0,91,91228,980,3,2,68,0,1200,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
218,0,78,78350,650,1,0,23,0,-1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
219,0,95,95002,1250,5,3,160,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,75,75056,1775,2,1,52,0,750,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
221,0,75,75056,1270,1,0,31,0,-1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
222,0,93,93059,600,1,1,25,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,75,75056,1431,2,1,22,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,92,92035,1560,3,2,73,0,490,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0
225,0,93,93051,1294,3,2,69,0,590,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
