,nom_commune,dummy,cat_commune
193,77Montévrain,1,1
194,77Moret-Loing-et-Orvanne,1,1
195,77Mormant,1,1
196,77Mortcerf,1,1
197,77Mouroux,1,1
198,77Mousseaux-lès-Bray,1,1
199,77Moussy-le-Neuf,1,1
200,77Moussy-le-Vieux,1,1
201,77Mouy-sur-Seine,1,1
202,77Méry-sur-Marne,1,1
203,77Nandy,1,1
204,77Nangis,1,1
205,77Nanteuil-lès-Meaux,1,1
206,77Nanteuil-sur-Marne,1,1
207,77Nantouillet,1,1
208,77Nemours,1,1
209,77Neufmoutiers-en-Brie,1,1
210,77Noisiel,1,1
211,77Noisy-sur-École,1,1
212,77Oissery,1,0
213,77Othis,1,1
214,77Ozoir-la-Ferrière,1,1
215,77Ozouer-le-Voulgis,1,1
216,77Penchard,1,1
217,77Perthes,1,1
218,77Poligny,1,0
219,77Pommeuse,1,1
220,77Pomponne,1,1
221,77Pontault-Combault,1,1
222,77Pontcarré,1,1
223,77Presles-en-Brie,1,1
224,77Pringy,1,1
225,77Provins,1,1
226,77Précy-sur-Marne,1,1
227,77Pécy,1,1
228,77Quincy-Voisins,1,1
229,77Rebais,1,1
230,77Recloses,1,1
231,77Reuil-en-Brie,1,1
232,77Roissy-en-Brie,1,1
233,77Rouilly,1,0
234,77Rozay-en-Brie,1,1
235,77Rubelles,1,1
236,77Saint-Augustin,1,1
237,77Saint-Cyr-sur-Morin,1,1
238,77Saint-Fargeau-Ponthierry,1,1
239,77Saint-Fiacre,1,0
240,77Saint-Germain-Laxis,1,1
241,77Saint-Germain-sur-Morin,1,1
242,77Saint-Hilliers,1,1
243,77Saint-Jean-les-Deux-Jumeaux,1,1
244,77Saint-Mammès,1,1
245,77Saint-Mard,1,0
246,77Saint-Martin-en-Bière,1,1
247,77Saint-Mesmes,1,0
248,77Saint-Pathus,1,1
249,77Saint-Pierre-lès-Nemours,1,1
250,77Saint-Siméon,1,1
251,77Saint-Soupplets,1,1
252,77Saint-Thibault-des-Vignes,1,1
253,77Sainte-Colombe,1,1
254,77Salins,1,1
255,77Sammeron,1,0
256,77Samois-sur-Seine,1,1
257,77Samoreau,1,0
258,77Savigny-le-Temple,1,1
259,77Saâcy-sur-Marne,1,1
260,77Seine-Port,1,0
261,77Sept-Sorts,1,0
262,77Serris,1,1
263,77Servon,1,1
264,77Sivry-Courtry,1,1
265,77Soignolles-en-Brie,1,1
266,77Solers,1,1
267,77Souppes-sur-Loing,1,1
268,77Sourdun,1,0
269,77Thieux,1,1
270,77Thomery,1,1
271,77Thorigny-sur-Marne,1,1
272,77Torcy,1,1
273,77Touquin,1,1
274,77Tournan-en-Brie,1,1
