date,appart1,appart0,appart2,maison1,maison0,maison2
2021-02-01,9672.324699680328,3982.703517865661,14914.5963649443,6937.4281440320965,3273.350774568145,12501.998478541229
2021-03-01,9777.680590121796,4007.545693198044,14926.030123316354,7030.581868106244,3360.8584378461587,17909.760429905895
2021-04-01,9774.273527277071,3973.64323301344,14179.737522186124,7022.166136765984,3271.225097122368,15051.135434468782
2021-05-01,9748.73708254452,4008.534427224084,14765.490068946589,7316.409019729586,3318.302456168463,14008.68426933996
2021-06-01,9871.839093995928,4065.648316834728,20799.707143219493,7140.000964023603,3400.19184982061,15528.158039446063
2021-07-01,9926.07945215658,4153.491665752478,14693.912449531315,7332.065991241967,3493.560133155734,15570.682015611448
2021-08-01,9837.470478183506,4049.489149971267,14252.90191782957,7344.226051817657,3499.851266597121,15720.378998887958
2021-09-01,10117.366060573662,4135.813252813492,15116.384085654168,7431.929569820815,3470.5204790087537,15087.1451625785
2021-10-01,10079.916591218169,4184.944723633022,14123.569037595827,7474.709221966201,3461.4170870115336,14985.681642500303
2021-11-01,10073.17969522449,3958.0467804068408,14341.461514091336,7442.910119162304,3394.756756968513,14278.138527257614
2021-12-01,10000.398169133088,3948.214143329979,15036.609252167458,7466.763131153539,3398.0543075629457,14350.602458437916
